transaction_id,timestamp,customer_id,merchant_id,amount,country,mcc,channel,device_id,label
0,2024-01-01T00:09:00,1170,769,9.62,US,5942,POS,d6433,0
1,2024-01-01T00:15:00,2036,352,26.76,SG,5411,POS,d7560,0
2,2024-01-01T00:23:00,3324,654,28.46,AE,5999,ECOM,d2547,0
3,2024-01-01T00:29:00,3468,1118,31.98,SG,5732,ATM,d2540,0
4,2024-01-01T00:33:00,4826,692,11.41,DE,4789,ECOM,d1485,0
5,2024-01-01T00:37:00,2025,306,7.34,DE,5732,ECOM,d2085,0
6,2024-01-01T00:44:00,419,547,13.65,IN,5732,POS,d4798,0
7,2024-01-01T00:44:00,4219,307,16.51,US,4789,POS,d4375,0
8,2024-01-01T00:51:00,4752,377,183.86,SG,5411,ECOM,d1574,0
9,2024-01-01T00:57:00,763,1076,436.33,IN,5814,POS,d3999,0
10,2024-01-01T01:05:00,3532,822,26.32,GB,5814,POS,d5553,0
11,2024-01-01T01:14:00,742,43,49.53,DE,5814,ATM,d5185,0
12,2024-01-01T01:15:00,1976,884,63.72,SG,5814,POS,d5667,0
13,2024-01-01T01:19:00,3954,94,27.68,SG,5999,POS,d4283,0
14,2024-01-01T01:23:00,3504,219,21.1,SG,5942,POS,d592,0
15,2024-01-01T01:26:00,3976,600,13.12,AE,5814,ECOM,d7638,0
16,2024-01-01T01:35:00,5908,184,51.39,IN,5732,ECOM,d1127,0
17,2024-01-01T01:42:00,5309,648,55.66,SG,5732,POS,d407,0
18,2024-01-01T01:51:00,3455,92,15.15,AE,4789,POS,d6764,0
19,2024-01-01T01:58:00,1776,87,6.44,DE,4789,POS,d4458,0
20,2024-01-01T02:05:00,1373,52,12.99,AE,5732,POS,d1718,0
21,2024-01-01T02:10:00,3583,161,42.48,US,5999,POS,d2007,0
22,2024-01-01T02:19:00,3931,832,36.85,IN,5732,POS,d4911,0
23,2024-01-01T02:22:00,2159,510,51.59,SG,5942,ECOM,d2050,0
24,2024-01-01T02:30:00,4260,586,77.25,DE,5814,POS,d1286,0
25,2024-01-01T02:33:00,256,461,43.7,DE,5411,POS,d5095,0
26,2024-01-01T02:41:00,5033,612,27.77,IN,5732,POS,d7666,0
27,2024-01-01T02:45:00,5561,478,29.12,GB,5411,POS,d7782,0
28,2024-01-01T02:49:00,5143,222,16.14,SG,5999,POS,d4489,0
29,2024-01-01T02:52:00,811,592,11.12,US,5999,ATM,d3833,0
30,2024-01-01T02:56:00,155,961,15.69,AE,5814,POS,d6205,0
31,2024-01-01T02:59:00,5795,668,48.12,DE,5942,POS,d5757,0
32,2024-01-01T03:00:00,4259,356,32.9,DE,5814,POS,d2648,0
33,2024-01-01T03:04:00,1469,942,41.5,IN,5732,ECOM,d3896,0
34,2024-01-01T03:04:00,3546,829,41.23,SG,5942,POS,d2918,0
35,2024-01-01T03:04:00,2952,1128,73.41,SG,5732,POS,d668,0
36,2024-01-01T03:08:00,5586,932,180.29,GB,5814,ATM,d1674,0
37,2024-01-01T03:11:00,4508,1142,75.35,IN,4789,ECOM,d7270,0
38,2024-01-01T03:19:00,4257,680,29.01,SG,5732,POS,d7055,0
39,2024-01-01T03:22:00,939,43,21.11,DE,5814,POS,d1019,0
40,2024-01-01T03:31:00,1362,444,20.82,US,5942,POS,d3593,0
41,2024-01-01T03:37:00,5934,724,10.94,DE,5732,POS,d1683,0
42,2024-01-01T03:45:00,5637,254,124.0,DE,5411,POS,d1383,0
43,2024-01-01T03:53:00,5941,528,65.16,AE,4789,POS,d356,0
44,2024-01-01T04:00:00,1194,881,13.43,GB,5942,ECOM,d1437,0
45,2024-01-01T04:09:00,5039,231,22.59,AE,5732,POS,d4806,0
46,2024-01-01T04:18:00,761,887,17.05,AE,5411,POS,d7501,0
47,2024-01-01T04:27:00,3472,1115,132.8,IN,5411,ECOM,d5683,0
48,2024-01-01T04:34:00,4191,255,18.42,IN,5814,ECOM,d4870,0
49,2024-01-01T04:42:00,1550,79,60.13,GB,5999,POS,d3355,0
50,2024-01-01T04:44:00,1555,412,92.04,GB,5411,ECOM,d2267,0
51,2024-01-01T04:53:00,1238,165,8.73,SG,5732,POS,d6610,0
52,2024-01-01T04:55:00,3743,379,170.99,SG,5732,POS,d7789,0
53,2024-01-01T05:00:00,3317,235,118.36,IN,5411,POS,d1860,0
54,2024-01-01T05:05:00,5856,1079,29.81,AE,5942,ATM,d1619,0
55,2024-01-01T05:06:00,453,1160,33.31,GB,5814,POS,d7146,0
56,2024-01-01T05:15:00,4531,1068,24.68,SG,5732,POS,d4076,0
57,2024-01-01T05:19:00,3743,499,22.1,GB,5411,ECOM,d6413,0
58,2024-01-01T05:20:00,3114,871,27.42,GB,4789,POS,d4997,0
59,2024-01-01T05:28:00,1554,842,28.53,SG,5732,POS,d4744,0
60,2024-01-01T05:30:00,5765,851,83.41,IN,5814,ECOM,d3429,0
61,2024-01-01T05:30:00,377,874,10.25,DE,5814,POS,d6815,0
62,2024-01-01T05:33:00,1967,129,39.33,US,5999,POS,d7367,0
63,2024-01-01T05:37:00,3933,179,9.01,AE,5732,ECOM,d1846,0
64,2024-01-01T05:46:00,5552,386,60.65,SG,5999,POS,d4160,0
65,2024-01-01T05:48:00,2187,33,73.88,IN,5999,POS,d7550,0
66,2024-01-01T05:48:00,313,622,36.33,US,5999,ECOM,d3157,0
67,2024-01-01T05:53:00,4601,724,38.66,DE,5732,POS,d1996,0
68,2024-01-01T05:57:00,5637,1113,13.9,DE,5411,ECOM,d5327,0
69,2024-01-01T06:05:00,2925,464,183.41,DE,5814,ECOM,d1255,0
70,2024-01-01T06:13:00,4485,926,15.0,AE,5732,POS,d7405,0
71,2024-01-01T06:18:00,634,761,47.73,AE,5732,ECOM,d1341,0
72,2024-01-01T06:27:00,5694,130,35.86,DE,4789,ECOM,d3672,0
73,2024-01-01T06:36:00,14,129,89.81,US,5999,POS,d2755,0
74,2024-01-01T06:44:00,716,544,75.23,SG,4789,POS,d5534,0
75,2024-01-01T06:47:00,186,203,59.25,US,5814,POS,d2466,0
76,2024-01-01T06:54:00,2571,1164,69.27,SG,5732,POS,d292,0
77,2024-01-01T07:02:00,4196,15,65.9,DE,5411,POS,d4544,0
78,2024-01-01T07:09:00,3507,206,55.67,US,5999,ECOM,d1701,0
79,2024-01-01T07:13:00,982,255,48.5,IN,5814,POS,d4532,0
80,2024-01-01T07:20:00,845,224,55.01,GB,5999,ECOM,d185,0
81,2024-01-01T07:25:00,3152,769,28.36,US,5942,POS,d6368,0
82,2024-01-01T07:32:00,5406,598,13.13,GB,5732,POS,d3876,0
